Siderophore ID	Siderophore name	Siderophore other name	Canonical SMILES	Biosynthetic Type	Kingdom	Theoretical denticity	Count	monomers Number	coverage	Molecular Weight	Ligand Type	Precursor	Siderophore Large Class	Phylum	Hydroxamate	Catecholate	Phenolate	Carboxylate	Carboxylate in Citrate	Alpha-Hydroxycarboxylate	Hydroxyphenyloxazoline	Hydroxyphenylthiazoline	Alpha-Aminocarboxylate	Alpha-Hydroxyimidazole	Alpha-Hydroxycarboxylate in Citrate	Diazeniumdiolate	2-Nitrosophenol	Siderophore Class	Siderophore Small Class	Predicted logS	Predicted diffusion coefficient
SID00011	E-putrebactene	None	O=C1CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CC=CCN1	NIS	Bacteria	4	1	4	0.730769230769231	370.401548	Hydroxamate	Orn derivatives	3	Proteobacteria	2	0	0	0	0	0	0	0	0	0	0	0	0	3.3.1	3.3	-1.824	4.99249264239076
SID00012	Desferrioxamine Et1	Ferrioxamine Et1	O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCOCCNC(=O)CCC(=O)N(O)CCCCCN1	NIS	Bacteria	6	1	6	1	602.678794	Hydroxamate	Lys derivatives	3	Actinobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	3.3.2	3.3	-2.594	4.07412734002154
SID00013	Desferrioxamine Et2	Ferrioxamine Et2	O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCOCCNC(=O)CCC(=O)N(O)CCOCCN1	NIS	Bacteria	6	1	6	1	604.651577	Hydroxamate	Lys derivatives	3	Actinobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	3.3.3	3.3	-2.214	4.06866497920151
SID00014	Desferrioxamine T3	Ferrioxamine T3	O=C1CCC(=O)N(O)CCCCCCCNC(=O)CCC(=O)N(O)CCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN1	NIS	Bacteria	8	1	8	1	800.941348	Hydroxamate	Lys derivatives	3	Proteobacteria	4	0	0	0	0	0	0	0	0	0	0	0	0	3.3.4	3.3	-3.683	3.62904397106015
SID00015	Avaroferrin	None	O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCN1	NIS	Bacteria	4	1	4	1	386.444052	Hydroxamate	Lys derivatives/Orn derivatives	3	Proteobacteria	2	0	0	0	0	0	0	0	0	0	0	0	0	3.3.5	3.3	-1.973	4.90349559210135
SID00016	Desferrioxamine E	Ferrioxamine E; Nocardamin; Nocardamine	O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN1	NIS	Bacteria	6	7	6	1	600.706011	Hydroxamate	Lys derivatives	3	Proteobacteria/Actinobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	3.3.6	3.3	-3.032	4.0796161851538
SID00017	Desferrioxamine D2	Ferrioxamine D2	O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCCN1	NIS	Bacteria	6	3	6	1	586.679389	Hydroxamate	Lys derivatives	3	Actinobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	3.3.7	3.3	-2.859	4.11942530891326
SID00018	Terragine E	Dehydroxynocardamine	O=C1CCC(=O)NCCCCCN(O)C(=O)CCC(=O)NCCCCCN(O)C(=O)CCC(=O)NCCCCCN1	NIS	Bacteria	4	1	6	1	584.706606	Hydroxamate	Lys derivatives	3	Actinobacteria	2	0	0	0	0	0	0	0	0	0	0	0	0	3.3.8	3.3	-3.09	4.12513724311011
SID00019	Bisucaberin	None	O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN1	NIS	Bacteria	4	2	4	1	400.470674	Hydroxamate	Lys derivatives	3	Proteobacteria	2	0	0	0	0	0	0	0	0	0	0	0	0	3.3.9	3.3	-2.156	4.83009541338572
SID00020	Desferrioxamine X4	Ferrioxamine X4	O=C1CCC(=O)N(O)CCCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCCN1	NIS	Bacteria	6	2	6	1	628.759255	Hydroxamate	Lys derivatives	3	Actinobacteria/Proteobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	3.3.10	3.3	-3.393	4.00397335342224
SID00021	Desferrioxamine X3	Ferrioxamine X3	O=C1CCC(=O)N(O)CCCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN1	NIS	Bacteria	6	2	6	1	614.732633	Hydroxamate	Lys derivatives	3	Actinobacteria/Proteobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	3.3.11	3.3	-3.21	4.04115750151698
SID00022	Desferrioxamine X1	Ferrioxamine X1	O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCN1	NIS	Bacteria	6	2	6	1	572.652767	Hydroxamate	Lys derivatives	3	Actinobacteria/Proteobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	3.3.12	3.3	-2.692	4.16066729120247
SID00023	Desferrioxamine T7	Ferrioxamine T7	O=C1CCC(=O)N(O)CCCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN1	NIS	Bacteria	8	1	8	1	800.941348	Hydroxamate	Lys derivatives	3	Proteobacteria	4	0	0	0	0	0	0	0	0	0	0	0	0	3.3.13	3.3	-3.682	3.62904397106015
SID00024	Desferrioxamine T2	Ferrioxamine T2	O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCCN1	NIS	Bacteria	8	1	8	1	786.914726	Hydroxamate	Lys derivatives	3	Proteobacteria	4	0	0	0	0	0	0	0	0	0	0	0	0	3.3.14	3.3	-3.529	3.65499406526264
SID00025	Desferrioxamine T1	Ferrioxamine T1	O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN1	NIS	Bacteria	8	1	8	1	800.941348	Hydroxamate	Lys derivatives	3	Proteobacteria	4	0	0	0	0	0	0	0	0	0	0	0	0	3.3.15	3.3	-3.682	3.62904397106015
SID00026	Putrebactin	None	O=C1CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCN1	NIS	Bacteria	4	1	4	1	372.41743	Hydroxamate	Orn derivatives	3	Proteobacteria	2	0	0	0	0	0	0	0	0	0	0	0	0	3.3.16	3.3	-1.803	4.98099479338888
SID00027	Desferrioxamine X2	Ferrioxamine X2	O=C1CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCN1	NIS	Bacteria	6	2	6	1	558.626145	Hydroxamate	Lys derivatives	3	Actinobacteria/Proteobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	3.3.17	3.3	-2.532	4.20343180207762
SID00028	Desferrioxamine P1	Ferrioxamine P1	O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CC(=O)NCCNC(=O)CCC(=O)N(O)CCCCCN1	NIS	Bacteria	6	1	7	1	615.677556	Hydroxamate	Lys derivatives	3	Actinobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	3.3.18	3.3	-2.637	4.03861331416322
SID00029	Desferrioxamine T8	Ferrioxamine T8	O=C1CCC(=O)N(O)CCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCCNC1	NIS	Bacteria	8	1	8	0.821428571428571	800.941348	Hydroxamate	Lys derivatives	3	Proteobacteria	4	0	0	0	0	0	0	0	0	0	0	0	0	3.3.19	3.3	-3.273	3.62904397106015
SID00030	Desferrioxamine Te2	Ferrioxamine Te2	O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCSCCNC(=O)CCC(=O)N(O)CCSCCN1	NIS	Bacteria	6	1	6	1	636.782367	Hydroxamate	Lys derivatives	3	Actinobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	3.3.20	3.3	-3.296	3.98325011688524
SID00031	Desferrioxamine Te1	Ferrioxamine Te1	O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCSCCNC(=O)CCC(=O)N(O)CCCCCN1	NIS	Bacteria	6	1	6	1	618.744189	Hydroxamate	Lys derivatives	3	Actinobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	3.3.21	3.3	-3.198	4.03039602736758
SID00032	Desferrioxamine Te3	Ferrioxamine Te3	O=C1CCC(=O)N(O)CCSCCNC(=O)CCC(=O)N(O)CCSCCNC(=O)CCC(=O)N(O)CCSCCN1	NIS	Bacteria	6	1	6	1	654.820545	Hydroxamate	Lys derivatives	3	Actinobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	3.3.22	3.3	-3.365	3.93803437469512
SID00033	Desferrioxamine Et3	Ferrioxamine Et3	O=C1CCC(=O)N(O)CCOCCNC(=O)CCC(=O)N(O)CCOCCNC(=O)CCC(=O)N(O)CCOCCN1	NIS	Bacteria	6	1	6	1	606.62436	Hydroxamate	Lys derivatives	3	Actinobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	3.3.23	3.3	-1.901	4.06322888670291
SID00034	Alcaligin	None	O=C1CCC(=O)N(O)CCC(O)CNC(=O)CCC(=O)N(O)CCC(O)CN1	NIS	Bacteria	4	3	4	1	404.41624	Hydroxamate	Orn derivatives	3	Proteobacteria	2	0	0	0	0	0	0	0	0	0	0	0	0	3.3.24	3.3	-1.305	4.81013780248619
SID00035	E,E-putrebactene	None	O=C1CCC(=O)N(O)CC=CCNC(=O)CCC(=O)N(O)CC=CCN1	NIS	Bacteria	4	1	4	0.461538461538462	368.385666	Hydroxamate	Orn derivatives	3	Proteobacteria	2	0	0	0	0	0	0	0	0	0	0	0	0	3.3.25	3.3	-1.851	5.00408463886179
SID00036	2-N-hydroxy-3, 4-dihydroisoquinol-2-one	None	O=C1c2ccccc2CCN1O	NIS	Bacteria	2	1	1	0	163.173642	Hydroxamate	Unknown	16	Actinobacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	16.1.1	16.1	-1.588	7.15208493912342
SID00037	2,3,4,5-Tetrahydro-3,5-dihydroxy-6H-1,5-benzoxazocin-6-one	None	O=C1c2ccccc2OCC(O)CN1O	NIS	Bacteria	2	1	2	0.6	209.199074	Hydroxamate	Unknown	17	Unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	17.1.1	17.1	-1.478	6.39807960401628
SID00038	Pyridoxatin	None	C=CC1CC(C)CC(C)C1c1c(O)ccn(O)c1=O	Hybrid NRPS/PKS	Fungi	2	1	1	0	263.332779	Hydroxamate	Ala	18	Ascomycota	1	0	0	0	0	0	0	0	0	0	0	0	0	18.1.1	18.1	-3.39	5.78206003880347
SID00039	Cepabactin	None	COc1ccc(=O)n(O)c1C	Hybrid NRPS/PKS	Bacteria	2	1	1	0	155.151567	Hydroxamate	Unknown	19	Proteobacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	19.1.1	19.1	-1.281	7.31759561589453
SID00040	Neoaspergillic acid	None	CC(C)Cc1ncc(CC(C)C)n(O)c1=O	Hybrid NRPS/NIS	Fungi	2	2	2	1	224.299916	Hydroxamate	Leu+Ile	14	Ascomycota	1	0	0	0	0	0	0	0	0	0	0	0	0	14.1.1	14.1	-2.77	6.20368487487555
SID00041	Aspergillic acid	None	CCC(C)c1cnc(CC(C)C)c(=O)n1O	Hybrid NRPS/NIS	Fungi	2	2	2	0.5	224.299916	Hydroxamate	Leu+Ile	14	Ascomycota	1	0	0	0	0	0	0	0	0	0	0	0	0	14.1.2	14.1	-2.777	6.20368487487555
SID00042	Harzianic acid	None	CCCC=CC=CC(O)=C1C(=O)C(CC(O)(C(=O)O)C(C)C)N(C)C1=O	Hybrid NRPS/PKS	Fungi	2	1	1	0	365.4216	Alpha-Hydroxycarboxylate	4-hydroxy-4-isopropyl glutamate	20	Ascomycota	0	0	0	0	0	1	0	0	0	0	0	0	0	20.1.1	20.1	-2.447	5.02130275054064
SID00043	Glomuferrin	Bis-imidorhizoferrin	O=C(O)CC1(O)CC(=O)N(CCCCN2C(=O)CC(O)(CC(=O)O)C2=O)C1=O	NIS	Fungi	2	3	3	1	400.338116	Carboxylate	Unknown	21	Mucoromycota	0	0	0	2	0	0	0	0	0	0	0	0	0	21.1.1	21.1	-1.481	4.83077102394557
SID00044	Untitled siderophore 1	None	NC(=O)c1cc(Oc2cc(C(N)=O)cc(C(=O)O)c2)cc(C(=O)O)c1	NIS	Fungi	2	1	2	1	344.276373	Carboxylate	Unknown	12	Ascomycota	0	0	0	2	0	0	0	0	0	0	0	0	0	12.1.1	12.1	-3.894	5.15051546075194
SID00045	3,5-dihydroxybenzoic acid	None	O=C(O)c1cc(O)cc(O)c1	NIS	Bacteria	2	1	1	0	154.120446	Phenolate	Unknown	11	Proteobacteria	0	0	2	0	0	0	0	0	0	0	0	0	0	11.1.1	11.1	-1.544	7.33982450749962
SID00046	2,5-dihydroxybenzoic acid	Gentisic acid	O=C(O)c1cc(O)ccc1O	NIS	Animal	3	2	1	0	154.120446	Carboxylate/__Phenolate	Unknown	11	Chordata	0	0	2	1	0	0	0	0	0	0	0	0	0	11.1.2	11.1	-1.499	7.33982450749962
SID00047	3,4-dihydroxybenzoic acid	Protocatechuic acid	O=C(O)c1ccc(O)c(O)c1	NIS	Bacteria	3	4	1	1	154.120446	Carboxylate/__Catecholate	PCA	12	Firmicutes/Proteobacteria	0	1	0	1	0	0	0	0	0	0	0	0	0	12.2.1	12.2	-1.505	7.33982450749962
SID00048	Ferroverdin F	None	O=Nc1cc(C(=O)O)ccc1O	NIS	Bacteria	2	1	1	1	167.119208	2-Nitrosophenol	DHAP, Asp	7	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	7.1.1	7.1	-2.024	7.07518750059599
SID00049	Ferroverdin G	None	O=Nc1cc(C(=O)Oc2ccc(CCC(=O)O)cc2)ccc1O	NIS	Bacteria	2	1	2	1	315.278206	2-Nitrosophenol	DHAP, Asp	7	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	7.1.2	7.1	-4.088	5.34846106347709
SID00050	Ferroverdin H	None	O=Nc1cc(C(=O)Oc2ccc(CC(=O)O)cc2)ccc1O	NIS	Bacteria	2	1	2	1	301.251584	2-Nitrosophenol	DHAP, Asp	7	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	7.1.3	7.1	-4.021	5.4543443893796
SID00051	Ferroverdin E	None	O=Nc1cc(C(=O)Oc2ccc(C(=O)O)cc2)ccc1O	NIS	Bacteria	2	1	2	1	287.224962	2-Nitrosophenol	DHAP, Asp	7	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	7.1.4	7.1	-4.187	5.56793157636386
SID00052	Ferroverdin C	None	O=Nc1cc(C(=O)Oc2ccc(C=CC(=O)O)cc2)ccc1O	NIS	Bacteria	2	1	2	1	313.262324	2-Nitrosophenol	DHAP, Asp	7	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	7.1.5	7.1	-4.266	5.36323786261367
SID00053	Ferroverdin A	None	C=Cc1ccc(OC(=O)c2ccc(O)c(N=O)c2)cc1	NIS	Bacteria	2	1	2	1	269.252774	2-Nitrosophenol	DHAP, Asp	7	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	7.1.6	7.1	-4.65	5.72633569048992
SID00054	Ferroverdin D	None	O=Cc1ccc(OC(=O)c2ccc(O)c(N=O)c2)cc1	NIS	Bacteria	2	1	2	1	271.225557	2-Nitrosophenol	DHAP, Asp	7	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	7.1.7	7.1	-4.279	5.70817597393137
SID00055	Ferroverdin B	None	O=Nc1cc(C(=O)Oc2ccc(C=CO)cc2)ccc1O	NIS	Bacteria	2	1	2	0.523809523809524	285.252179	2-Nitrosophenol	DHAP, Asp	7	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	7.1.8	7.1	-3.687	5.58457973570774
SID00056	Pyridine-2,6-bis(thiocarboxylic acid)	2,6-Pyridinedicarbothioic acid; PDTC; Pyridine-2,6-bis(thiocarboxylate)	OC(=S)c1cccc(C(O)=S)n1	NIS	Bacteria	3	2	1	0	199.249998	Alpha-Aminocarboxylate	Unknown	13	Proteobacteria	0	0	0	0	0	0	0	0	2	0	0	0	0	13.1.1	13.1	-2.384	6.53825331207349
SID00057	Proferrorosamine A	None	O=C(O)C1CCC(c2ccccn2)=N1	PKS	Bacteria	1	1	1	0	190.199026	Carboxylate	Unknown	13	Proteobacteria	0	0	0	1	0	0	0	0	0	0	0	0	0	13.2.1	13.2	-1.546	6.67538046083407
SID00058	Ferrithiocin	Desferrithiocin	CC1(C(=O)O)CSC(c2ncccc2O)=N1	NIS	Bacteria	3	1	2	1	238.263231	Alpha-Aminocarboxylate/__Hydroxyphenylthiazoline	Unknown	1	Actinobacteria	0	0	0	0	0	0	0	1	1	0	0	0	0	1.1.1	1.1	-2.168	6.04085449254848
SID00059	Siderochelin A	None	CC1(O)CC(C(N)=O)N=C1c1ncccc1O	NIS	Bacteria	1	1	1	0	235.239697	Phenolate	Unknown	22	Actinobacteria	0	0	1	0	0	0	0	0	0	0	0	0	0	22.1.1	22.1	-1.624	6.07486416449416
SID00060	Tetracycline	None	CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12	PKS	Bacteria	1	2	1	0	444.43551	Phenolate	Unknown	23	Actinobacteria	0	0	1	0	0	0	0	0	0	0	0	0	0	23.1.1	23.1	-2.621	4.62291044622542
SID00061	Thioquinolobactin	Thio-quinolobactin; (thio)quinolobactin	COc1cc(C(=O)S)nc2c(O)cccc12	NIS	Bacteria	2	2	1	0	235.259327	Carboxylate/__Phenolate	Unknown	15	Proteobacteria	0	0	1	1	0	0	0	0	0	0	0	0	0	15.1.1	15.1	-3.348	6.07464122217925
SID00062	Quinolobactin	None	COc1cc(C(=O)O)nc2c(O)cccc12	NIS	Bacteria	3	1	1	0	219.193932	Alpha-Aminocarboxylate/__Phenolate	Unknown	15	Proteobacteria	0	0	1	0	0	0	0	0	1	0	0	0	0	15.1.2	15.1	-2.795	6.26712995996203
SID00063	Hinduchelin A	None	COc1cccc(-c2nc(C(=O)NCC(O)c3ccccc3)c(C)o2)c1OC	NRPS	Bacteria	2	1	3	1	382.410673	Hydroxyphenyloxazoline	diOH-Bz+Thr	10	Actinobacteria	0	0	0	0	0	0	1	0	0	0	0	0	0	10.1.1	10.1	-3.718	4.92534407022393
SID00064	Hinduchelin D	None	COc1cccc(-c2nc(C(=O)NCCc3ccccc3)c(C)o2)c1O	NRPS	Bacteria	2	1	3	1	352.384646	Hydroxyphenyloxazoline	diOH-Bz+Thr	10	Actinobacteria	0	0	0	0	0	0	1	0	0	0	0	0	0	10.1.2	10.1	-4.637	5.0995943433604
SID00065	Hinduchelin C	None	COc1cccc(-c2nc(C(=O)NCCc3ccccc3O)c(C)o2)c1O	NRPS	Bacteria	2	1	3	1	368.384051	Hydroxyphenyloxazoline	diOH-Bz+Thr	10	Actinobacteria	0	0	0	0	0	0	1	0	0	0	0	0	0	10.1.3	10.1	-4.469	5.00409396374324
SID00066	Hinduchelin B	None	COc1cccc(-c2nc(C(=O)NCCc3ccccc3O)c(C)o2)c1OC	NRPS	Bacteria	2	1	3	1	382.410673	Hydroxyphenyloxazoline	diOH-Bz+Thr	10	Actinobacteria	0	0	0	0	0	0	1	0	0	0	0	0	0	10.1.4	10.1	-4.719	4.92534407022393
SID00067	2,3-dihydroxybenzoic acid	None	O=C(O)c1cccc(O)c1O	NIS	Bacteria	3	6	1	1	154.120446	Carboxylate/__Catecholate	diOH-Bz	12	Proteobacteria/Firmicutes	0	1	0	1	0	0	0	0	0	0	0	0	0	12.3.1	12.3	-1.47	7.33982450749962
SID00068	2-hydroxybenzoic acid	Salicylic acid	O=C(O)c1ccccc1O	NIS	Bacteria	2	2	1	1	138.121041	Carboxylate/__Phenolate	Unknown	11	Proteobacteria	0	0	1	1	0	0	0	0	0	0	0	0	0	11.2.1	11.2	-1.211	7.71687237844112
SID00069	Madurastatin B1	None	O=C(O)C1CN1C(=O)c1ccccc1O	NRPS	Bacteria	2	1	2	1	207.183192	Carboxylate/__Phenolate	Unknown	1	Actinobacteria	0	0	1	1	0	0	0	0	0	0	0	0	0	1.2.1	1.2	-1.68	6.42565081295889
SID00070	Anguibactin	None	O=C(C1CSC(c2cccc(O)c2O)=N1)N(O)CCc1cnc[nH]1	Hybrid NRPS/NIS	Bacteria	4	3	3	1	348.377388	Hydroxamate/__Hydroxyphenylthiazoline	His derivatives/diOH-Bz+Cys	1	Proteobacteria	1	0	0	0	0	0	0	1	0	0	0	0	0	1.3.1	1.3	-3.069	5.12453814568095
SID00071	Preacinetobactin	Acinetobactin oxazoline form	CC1OC(c2cccc(O)c2O)=NC1C(=O)N(O)CCc1cnc[nH]1	Hybrid NRPS/NIS	Bacteria	5	2	3	1	346.338615	Catecholate/__Hydroxamate/__Hydroxyphenyloxazoline	His derivatives/diOH-Bz/diOH-Bz+Thr	1	Proteobacteria	1	1	0	0	0	0	1	0	0	0	0	0	0	1.3.2	1.3	-2.846	5.13739474876733
SID00072	Pre-pseudomonine	None	CC1OC(c2ccccc2O)=NC1C(=O)N(O)CCc1c[nH]cn1	NRPS	Bacteria	4	1	3	1	330.33921	Hydroxamate/__Hydroxyphenyloxazoline	His derivatives/SA+Thr	1	Proteobacteria	1	0	0	0	0	0	1	0	0	0	0	0	0	1.4.1	1.4	-2.608	5.24239028990895
SID00073	Untitled siderophore 3	(5R)-N-(2-(1H-imidazol-4-yl)ethyl)-2-(2-hydroxyphenyl)-5-methyl-4,5-dihydrooxazole-4-carboxamide	CC1OC(c2ccccc2O)=NC1C(=O)NCCc1c[nH]cn1	NRPS	Bacteria	2	1	3	1	314.339805	Hydroxyphenyloxazoline	SA+Thr	1	Proteobacteria	0	0	0	0	0	0	1	0	0	0	0	0	0	1.4.2	1.4	-2.705	5.35532197168154
SID00074	Vulnibactin 2	None	CC1OC(c2ccccc2O)=NC1C(=O)O	NRPS	Bacteria	3	1	2	1	221.209814	Carboxylate/__Hydroxyphenyloxazoline	SA+Thr	1	Proteobacteria	0	0	0	1	0	0	1	0	0	0	0	0	0	1.4.3	1.4	-2.05	6.24181536097713
